student_id,origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S00001,Finland,Russia,Moscow,Lomonosov Moscow State University,Computer Science,Engineering,2021,No,Higher Ranking,2024,Placed,Microsoft,36416,3.92,Tier 4,Work Permit,TOEFL,7.8
S00002,UK,Germany,Aachen,RWTH Aachen,Civil Engineering,Law,2023,Yes,Job Opportunities,2024,Placed,Google,32956,2.6,Study Permit,OPT,PTE,7.9
S00003,Ireland,Canada,Vancouver,University of British Columbia,Law,Arts,2019,No,Scholarship,2020,Placed,Tesla,34370,2.72,F1,Blue Card,GRE,310.0
S00004,UAE,UK,Birmingham,University of Birmingham,Data Science,Social Sciences,2021,Yes,Quality of Life,2023,Placed,Apple,50892,3.71,Schengen Student Visa,PSW,GRE,299.0
S00005,South Africa,Germany,Stuttgart,University of Stuttgart,Business Administration,Law,2020,Yes,Political Stability,2021,Placed,IBM,54790,2.96,Schengen Student Visa,OPT,PTE,8.2
S00006,UAE,South Africa,Pretoria,University of Pretoria,Mechanical Engineering,Engineering,2022,Yes,Job Opportunities,2023,Not Placed,,0,2.69,J1,Blue Card,TOEFL,7.4
S00007,UAE,UK,Edinburgh,University of Edinburgh,Architecture,Law,2019,Yes,Quality of Life,2021,Placed,Tesla,35283,2.99,Study Permit,Blue Card,Duolingo,5.6
S00008,UAE,UK,Cambridge,University of Cambridge,Finance,Law,2023,No,Job Opportunities,2024,Placed,Facebook,98247,3.53,Student Visa,Work Permit,IELTS,5.4
S00009,India,Russia,Moscow,Higher School of Economics,Economics,Business,2021,Yes,Higher Ranking,2024,Placed,McKinsey,118106,3.2,Student Visa,Work Permit,GRE,253.0
S00010,Germany,India,Mumbai,IIT Bombay,Data Science,Business,2023,No,Quality of Life,2025,Placed,Microsoft,78324,2.65,J1,Post-Study Visa,GRE,280.0
S00011,South Africa,UAE,Dubai,University of Dubai,Data Science,Arts,2023,No,Higher Ranking,2026,Placed,JPMorgan Chase,37610,3.02,Schengen Student Visa,Blue Card,GRE,227.0
S00012,India,UK,Edinburgh,University of Edinburgh,Psychology,Computer Science,2020,Yes,Job Opportunities,2022,Placed,Apple,143194,2.78,Student Visa,OPT,IELTS,6.5
S00013,UAE,India,Delhi,JNU Delhi,Civil Engineering,Business,2020,No,Higher Ranking,2022,Placed,Facebook,89534,3.47,F1,Post-Study Visa,TOEFL,6.7
S00014,UK,USA,Boston,Harvard University,Psychology,Engineering,2021,Yes,Job Opportunities,2024,Not Placed,,0,2.91,Study Permit,OPT,TOEFL,6.5
S00015,Ireland,UAE,Dubai,Manipal Academy Dubai,Medicine,Computer Science,2020,Yes,Higher Ranking,2021,Placed,Nvidia,73326,3.0,Study Permit,Post-Study Visa,Duolingo,8.1
S00016,South Africa,USA,San Francisco,UC Berkeley,Finance,Social Sciences,2022,No,Political Stability,2023,Placed,Siemens,87234,3.0,F1,Blue Card,IELTS,6.0
S00017,UAE,UK,Manchester,University of Manchester,Data Science,Social Sciences,2023,Yes,Quality of Life,2024,Placed,Intel,126686,2.54,Study Permit,OPT,Duolingo,6.1
S00018,Ireland,UK,London,King's College London,Architecture,Engineering,2023,Yes,Political Stability,2025,Placed,Apple,44924,3.44,Study Permit,Work Permit,PTE,7.8
S00019,South Africa,Russia,Moscow,Moscow Institute of Physics and Technology,Electrical Engineering,Arts,2019,No,Quality of Life,2021,Placed,Shell,77607,3.83,Study Permit,PSW,IELTS,5.2
